energy_low,energy_mid,energy_high,energy_total,spectral_centroid,spectral_spread,spectral_flatness,spectral_rolloff,window_number,window_center_time
1687.5276386474593,53.59257485334889,0.0,1741.1202135008084,288.41097346892957,127.73217842185697,0.5394288482168944,429.7197265625,1,10.0
1707.6114449332513,56.49938247366489,0.0,1764.110827406916,288.96325922252885,127.96842874526624,0.543071053673347,429.7197265625,2,30.0
1709.3896997196166,53.870854816128166,0.0,1763.2605545357446,288.20214554179495,128.09309601433208,0.5519269162173551,430.30517578125,3,50.0
1695.1244914164051,54.965068128612245,0.0,1750.0895595450174,288.6106911564385,127.53044123375766,0.5500140191940337,432.64697265625,1,10.0
1705.811178368917,54.66740706258338,0.0,1760.4785854315005,287.72999173211275,127.33903976249857,0.5540831681280122,431.47607421875,2,30.0
1734.6280568947814,58.90076827985318,0.0,1793.5288251746342,289.2385609380494,127.40484797558173,0.5519579114864973,434.4033203125,3,50.0
550.8312980445473,1086.0294437777645,752.9866239814693,2389.847365803781,1879.622369516943,1907.4829413520883,0.27572453110194134,4062.296875,1,10.0
541.4477980787218,1129.2636138123166,773.8740129376166,2444.585424828655,1909.779408397893,1938.116089962024,0.28758627390730224,4033.00146484375,2,30.0
532.1664969063305,1129.7827333908165,779.8670415644857,2441.8162718616322,1931.3706381710886,1972.3228553511278,0.2922486024750178,4101.357421875,3,50.0
509.50918065720174,1092.1544105799917,696.8129382040054,2298.476529441199,1808.295681850929,1819.9872874923071,0.25534296235760917,3788.873046875,1,10.0
508.67839551704776,1111.1862175817039,697.7020208674826,2317.566633966234,1807.1205528868802,1817.5460024013812,0.2561438557898171,3769.3427734375,2,30.0
510.7114753949117,1130.655854431218,793.0726681398792,2434.4399979660093,1999.5285057489398,2075.105984224501,0.3018343434789518,4384.54638671875,3,50.0
517.4670681719533,1189.1817546326388,881.6748184054647,2588.323641210057,2153.4157195718067,2255.7177623043003,0.3143906071303232,4794.68212890625,1,10.0
514.0083643619307,1128.8246822145893,906.3582032769912,2549.1912498535107,2259.223139163838,2359.8133759334205,0.33308307139216553,5068.10595703125,2,30.0
516.0095820463825,1178.5024329672044,894.3755495319581,2588.887564545545,2157.498523680554,2248.865024005468,0.3237476070066834,4823.9775390625,3,50.0
516.2903322973516,1224.2934609535614,815.8018546067874,2556.3856478577004,1958.9210860499188,2011.1151539241343,0.29299953155344666,4267.36474609375,1,10.0
530.524638187874,1214.9791953517022,1026.92909245787,2772.4329259974465,2346.1190623504667,2402.8447008209173,0.3436867388718739,5419.65087890625,2,30.0
532.810671629997,1228.2110223032141,1169.7865429502863,2930.808236883497,2558.0190609911742,2549.1559507679112,0.38295498826691876,6357.10400390625,3,50.0
505.4705366727198,1089.4620318304965,670.4555275856144,2265.388096088831,1794.5191544621746,1852.1843248993139,0.2668781273994043,3798.63818359375,1,10.0
506.47695047655907,1105.7483159501737,710.4965229358708,2322.721789362604,1857.2796202674017,1923.9431303482186,0.2876966133360284,3964.6455078125,2,30.0
502.19653494565887,1113.3205030696295,733.3231911820499,2348.8402291973384,1906.476858747764,1984.5043358842975,0.2960103377773429,4120.8876953125,3,50.0
499.8249675640289,1126.1924021878406,756.3145427237287,2382.331912475598,1940.9210973668564,2017.8349739333562,0.29285622161036695,4267.36474609375,1,10.0
503.3250662847394,1102.3375399995634,791.6512525622771,2397.31385884658,2049.3703905151606,2149.834916796285,0.29962272058249756,4638.43994140625,2,30.0
513.0165094422943,1106.4069414935038,843.2890846133491,2462.712535549147,2154.9827533400676,2265.2527200548384,0.30910306026574935,4911.86376953125,3,50.0
503.1723651525645,1142.3900472515468,810.892879165644,2456.4552915697554,2056.6761604259677,2153.478787873023,0.29327759867431147,4638.43994140625,1,10.0
507.2816664924318,1204.6008609517958,1312.251165983118,3024.1336934273454,2784.042342040889,2628.100947814082,0.35041674633145564,7099.25439453125,2,30.0
498.75065525202274,1117.5315928055886,2631.469259503786,4247.7515075613965,4219.0816697474,3026.3458858631525,0.3462981613569161,7470.32958984375,3,50.0
492.37250753864146,1013.2426053510969,609.4796888558177,2115.0948017455557,1761.7031554924044,1836.543261383452,0.2580078324369436,3808.4033203125,1,10.0
495.3613473472532,998.436641645125,631.4741825504998,2125.272171542878,1808.3896378515667,1897.2074942928277,0.274604916245067,3954.88037109375,2,30.0
496.6897202385086,1038.2206385317702,638.1939197094594,2173.104278479738,1808.8854609170844,1912.6964290320873,0.2726927001105381,3974.41064453125,3,50.0
489.5536336067467,1104.6315353295377,783.3905372308332,2377.5757061671175,2072.694972316622,2186.3174445077634,0.2960601420544157,4677.50048828125,1,10.0
489.5363690738741,1087.1527504299256,803.8057153007338,2380.494834804533,2172.8479121211394,2314.8341434845397,0.31467984942696253,4980.2197265625,2,30.0
494.49985353209706,1094.1372833181872,875.639640796891,2464.2767776471746,2319.6021791692365,2453.1315153059177,0.32214391500457157,5370.8251953125,3,50.0
1720.161367607845,56.778352698676855,0.0,1776.9397203065218,292.0914474974487,129.0850627483167,0.5566544344719524,438.50146484375,1,10.0
1795.474568357652,60.856484929639684,0.0,1856.3310532872915,292.37816911485663,132.04902822081195,0.5958169095774123,438.50146484375,2,30.0
1791.4285074750276,66.998978375274,0.0,1858.4274858503015,290.1436149645299,135.2851299494563,0.6181906513545368,439.0869140625,3,50.0
490.1847647513052,1110.1112603090178,968.891094833971,2569.187119894294,2438.801918001619,2494.002721271719,0.317517236607652,5907.90771484375,1,10.0
494.63276723576894,1121.0773946282009,1051.7113832764885,2667.4215451404584,2612.9977491530085,2647.3852289600954,0.3135804834352393,7089.4892578125,2,30.0
