id,epoch,timestamp,X (g),Y (g),Z (g)
0,1747231478625,2025-05-14 16:04:38,0.01171875,-0.21875,0.01171875
1,1747231478628,2025-05-14 16:04:38,0.01171875,-0.21875,0.01171875
2,1747231478630,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
3,1747231478633,2025-05-14 16:04:38,0.01171875,-0.21875,0.01171875
4,1747231478636,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
5,1747231478638,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
6,1747231478641,2025-05-14 16:04:38,0.01171875,-0.21875,0.01171875
7,1747231478643,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
8,1747231478646,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
9,1747231478648,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
10,1747231478651,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
11,1747231478655,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
12,1747231478658,2025-05-14 16:04:38,-0.00390625,-0.234375,-0.00390625
13,1747231478660,2025-05-14 16:04:38,-0.00390625,-0.234375,-0.00390625
14,1747231478663,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
15,1747231478666,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
16,1747231478668,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
17,1747231478671,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
18,1747231478673,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
19,1747231478676,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
20,1747231478678,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
21,1747231478681,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
22,1747231478683,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
23,1747231478686,2025-05-14 16:04:38,0.01171875,-0.21875,0.01171875
24,1747231478688,2025-05-14 16:04:38,0.01171875,-0.21875,0.01171875
25,1747231478691,2025-05-14 16:04:38,0.01171875,-0.21875,0.01171875
26,1747231478693,2025-05-14 16:04:38,0.01171875,-0.21875,0.01171875
27,1747231478696,2025-05-14 16:04:38,0.01171875,-0.21875,0.01171875
28,1747231478698,2025-05-14 16:04:38,0.01171875,-0.21875,0.01171875
29,1747231478701,2025-05-14 16:04:38,0.01171875,-0.203125,0.01171875
30,1747231478703,2025-05-14 16:04:38,0.01171875,-0.21875,0.01171875
31,1747231478706,2025-05-14 16:04:38,0.01171875,-0.21875,0.01171875
32,1747231478708,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
33,1747231478711,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
34,1747231478713,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
35,1747231478716,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
36,1747231478718,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
37,1747231478721,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
38,1747231478723,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
39,1747231478726,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
40,1747231478728,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
41,1747231478730,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
42,1747231478733,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
43,1747231478735,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
44,1747231478738,2025-05-14 16:04:38,0.01171875,-0.21875,0.01171875
45,1747231478740,2025-05-14 16:04:38,0.01171875,-0.21875,0.01171875
46,1747231478743,2025-05-14 16:04:38,0.01171875,-0.21875,0.01171875
47,1747231478745,2025-05-14 16:04:38,0.01171875,-0.21875,0.01171875
48,1747231478748,2025-05-14 16:04:38,0.01171875,-0.21875,0.01171875
49,1747231478750,2025-05-14 16:04:38,0.01171875,-0.21875,0.01171875
50,1747231478753,2025-05-14 16:04:38,0.01171875,-0.21875,0.01171875
51,1747231478755,2025-05-14 16:04:38,0.01171875,-0.234375,0.01171875
52,1747231478758,2025-05-14 16:04:38,0.01171875,-0.234375,0.01171875
53,1747231478760,2025-05-14 16:04:38,0.01171875,-0.234375,0.01171875
54,1747231478763,2025-05-14 16:04:38,0.01171875,-0.21875,0.01171875
55,1747231478765,2025-05-14 16:04:38,0.01171875,-0.234375,0.01171875
56,1747231478768,2025-05-14 16:04:38,0.01171875,-0.21875,0.01171875
57,1747231478770,2025-05-14 16:04:38,0.01171875,-0.21875,0.01171875
58,1747231478773,2025-05-14 16:04:38,0.01171875,-0.234375,0.01171875
59,1747231478775,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
60,1747231478778,2025-05-14 16:04:38,-0.0048828125,-0.234375,-0.0048828125
61,1747231478780,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
62,1747231478783,2025-05-14 16:04:38,-0.00390625,-0.234375,-0.00390625
63,1747231478785,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
64,1747231478788,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
65,1747231478790,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
66,1747231478793,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
67,1747231478795,2025-05-14 16:04:38,-0.01953125,-0.21875,-0.01953125
68,1747231478798,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
69,1747231478800,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
70,1747231478803,2025-05-14 16:04:38,-0.01953125,-0.21875,-0.01953125
71,1747231478805,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
72,1747231478808,2025-05-14 16:04:38,-0.01953125,-0.21875,-0.01953125
73,1747231478810,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
74,1747231478813,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
75,1747231478815,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
76,1747231478818,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
77,1747231478820,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
78,1747231478823,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
79,1747231478825,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
80,1747231478828,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
81,1747231478830,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
82,1747231478833,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
83,1747231478835,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
84,1747231478838,2025-05-14 16:04:38,0.01171875,-0.21875,0.01171875
85,1747231478840,2025-05-14 16:04:38,0.01171875,-0.21875,0.01171875
86,1747231478843,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
87,1747231478845,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
88,1747231478848,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
89,1747231478850,2025-05-14 16:04:38,0.01171875,-0.21875,0.01171875
90,1747231478853,2025-05-14 16:04:38,0.01171875,-0.21875,0.01171875
91,1747231478855,2025-05-14 16:04:38,0.01171875,-0.21875,0.01171875
92,1747231478858,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
93,1747231478860,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
94,1747231478863,2025-05-14 16:04:38,0.01171875,-0.21875,0.01171875
95,1747231478865,2025-05-14 16:04:38,0.01171875,-0.21875,0.01171875
96,1747231478867,2025-05-14 16:04:38,0.01171875,-0.21875,0.01171875
97,1747231478870,2025-05-14 16:04:38,0.01171875,-0.234375,0.01171875
98,1747231478872,2025-05-14 16:04:38,0.01171875,-0.21875,0.01171875
99,1747231478875,2025-05-14 16:04:38,0.01171875,-0.21875,0.01171875
100,1747231478877,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
101,1747231478880,2025-05-14 16:04:38,-0.00390625,-0.21875,-0.00390625
102,1747231478882,2025-05-14 16:04:38,0.01171875,-0.234375,0.01171875
103,1747231478885,2025-05-14 16:04:38,0.01171875,-0.203125,0.01171875
104,1747231478887,2025-05-14 16:04:38,0.01171875,-0.203125,0.01171875
105,1747231478890,2025-05-14 16:04:38,-0.00390625,-0.234375,-0.00390625
106,1747231478892,2025-05-14 16:04:38,0.01171875,-0.21875,0.01171875
107,1747231478895,2025-05-14 16:04:38,0.02734375,-0.203125,0.02734375
108,1747231478897,2025-05-14 16:04:38,0.01171875,-0.21875,0.01171875
109,1747231478900,2025-05-14 16:04:38,0.02734375,-0.21875,0.02734375
110,1747231478902,2025-05-14 16:04:38,0.02734375,-0.203125,0.02734375
